Type,X,Y,BB Width,BB Height,filename,Image Width,Image Height
text box,88,513,470,28,video5_0_1_shot16.jpg,1280,720
text box,87,553,505,30,video5_0_1_shot16.jpg,1280,720
text box,87,595,416,26,video5_0_1_shot16.jpg,1280,720
text box,88,636,507,30,video5_0_1_shot16.jpg,1280,720
instructor,991,386,287,332,video5_0_1_shot16.jpg,1280,720
picture,687,156,331,491,video5_0_1_shot16.jpg,1280,720
header,682,47,224,15,video5_0_1_shot16.jpg,1280,720
footer,115,692,68,18,video5_0_1_shot16.jpg,1280,720
header,146,9,295,54,video5_0_1_shot17.jpg,1280,720
title,84,97,563,97,video5_0_1_shot17.jpg,1280,720
text box,87,216,577,26,video5_0_1_shot17.jpg,1280,720
text box,88,258,456,30,video5_0_1_shot17.jpg,1280,720
text box,87,299,541,126,video5_0_1_shot17.jpg,1280,720
text box,88,439,473,61,video5_0_1_shot17.jpg,1280,720
text box,88,513,470,28,video5_0_1_shot17.jpg,1280,720
text box,87,553,505,30,video5_0_1_shot17.jpg,1280,720
text box,87,595,416,26,video5_0_1_shot17.jpg,1280,720
text box,88,636,507,30,video5_0_1_shot17.jpg,1280,720
instructor,1040,395,239,324,video5_0_1_shot17.jpg,1280,720
picture,687,151,333,497,video5_0_1_shot17.jpg,1280,720
header,682,47,224,15,video5_0_1_shot17.jpg,1280,720
footer,115,692,68,18,video5_0_1_shot17.jpg,1280,720
header,146,8,295,54,video5_0_1_shot18.jpg,1280,720
title,84,97,563,97,video5_0_1_shot18.jpg,1280,720
text box,87,216,577,26,video5_0_1_shot18.jpg,1280,720
text box,88,258,456,30,video5_0_1_shot18.jpg,1280,720
text box,87,299,541,126,video5_0_1_shot18.jpg,1280,720
text box,88,439,473,61,video5_0_1_shot18.jpg,1280,720
text box,88,513,470,28,video5_0_1_shot18.jpg,1280,720
text box,87,553,505,30,video5_0_1_shot18.jpg,1280,720
text box,87,595,416,26,video5_0_1_shot18.jpg,1280,720
text box,88,636,507,30,video5_0_1_shot18.jpg,1280,720
instructor,1022,390,257,328,video5_0_1_shot18.jpg,1280,720
picture,685,151,335,499,video5_0_1_shot18.jpg,1280,720
header,682,47,224,15,video5_0_1_shot18.jpg,1280,720
footer,115,692,68,18,video5_0_1_shot18.jpg,1280,720
header,146,9,295,54,video5_0_1_shot19.jpg,1280,720
title,84,97,563,97,video5_0_1_shot19.jpg,1280,720
text box,87,216,577,26,video5_0_1_shot19.jpg,1280,720
text box,88,258,456,30,video5_0_1_shot19.jpg,1280,720
text box,87,299,541,126,video5_0_1_shot19.jpg,1280,720
text box,88,439,473,61,video5_0_1_shot19.jpg,1280,720
text box,88,513,470,28,video5_0_1_shot19.jpg,1280,720
text box,87,553,505,30,video5_0_1_shot19.jpg,1280,720
text box,87,595,416,26,video5_0_1_shot19.jpg,1280,720
text box,88,636,507,30,video5_0_1_shot19.jpg,1280,720
instructor,991,386,287,332,video5_0_1_shot19.jpg,1280,720
picture,687,155,332,493,video5_0_1_shot19.jpg,1280,720
header,682,47,224,15,video5_0_1_shot19.jpg,1280,720
footer,115,692,68,18,video5_0_1_shot19.jpg,1280,720
header,146,9,295,54,video5_0_1_shot20.jpg,1280,720
instructor,979,381,300,337,video5_0_1_shot20.jpg,1280,720
picture,675,195,305,436,video5_0_1_shot20.jpg,1280,720
header,682,47,224,15,video5_0_1_shot20.jpg,1280,720
footer,115,692,68,18,video5_0_1_shot20.jpg,1280,720
title,83,106,602,46,video5_0_1_shot20.jpg,1280,720
text box,74,168,373,30,video5_0_1_shot20.jpg,1280,720
text box,114,213,301,28,video5_0_1_shot20.jpg,1280,720
text box,100,251,179,29,video5_0_1_shot20.jpg,1280,720
text box,68,287,533,87,video5_0_1_shot20.jpg,1280,720
text box,74,387,486,28,video5_0_1_shot20.jpg,1280,720
text box,60,427,506,24,video5_0_1_shot20.jpg,1280,720
text box,87,466,504,62,video5_0_1_shot20.jpg,1280,720
text box,76,546,527,31,video5_0_1_shot20.jpg,1280,720
text box,81,584,416,28,video5_0_1_shot20.jpg,1280,720
text box,120,619,426,56,video5_0_1_shot20.jpg,1280,720
header,146,9,295,54,video5_0_1_shot21.jpg,1280,720
instructor,989,386,289,333,video5_0_1_shot21.jpg,1280,720
picture,675,196,306,435,video5_0_1_shot21.jpg,1280,720
header,682,47,224,15,video5_0_1_shot21.jpg,1280,720
footer,115,692,68,18,video5_0_1_shot21.jpg,1280,720
title,83,106,602,46,video5_0_1_shot21.jpg,1280,720
text box,74,168,373,30,video5_0_1_shot21.jpg,1280,720
text box,114,213,301,28,video5_0_1_shot21.jpg,1280,720
text box,100,251,179,29,video5_0_1_shot21.jpg,1280,720
text box,68,287,533,87,video5_0_1_shot21.jpg,1280,720
text box,74,387,486,28,video5_0_1_shot21.jpg,1280,720
text box,60,427,506,24,video5_0_1_shot21.jpg,1280,720
text box,87,466,504,62,video5_0_1_shot21.jpg,1280,720
text box,76,546,527,31,video5_0_1_shot21.jpg,1280,720
text box,81,584,416,28,video5_0_1_shot21.jpg,1280,720
text box,120,619,426,56,video5_0_1_shot21.jpg,1280,720
header,146,9,295,54,video5_0_1_shot22.jpg,1280,720
instructor,988,391,289,329,video5_0_1_shot22.jpg,1280,720
picture,674,195,309,435,video5_0_1_shot22.jpg,1280,720
header,682,47,224,17,video5_0_1_shot22.jpg,1280,720
footer,115,692,68,18,video5_0_1_shot22.jpg,1280,720
title,83,106,602,46,video5_0_1_shot22.jpg,1280,720
text box,74,168,373,30,video5_0_1_shot22.jpg,1280,720
text box,114,213,301,28,video5_0_1_shot22.jpg,1280,720
text box,100,251,179,29,video5_0_1_shot22.jpg,1280,720
text box,68,287,533,87,video5_0_1_shot22.jpg,1280,720
text box,74,387,486,28,video5_0_1_shot22.jpg,1280,720
text box,60,427,506,24,video5_0_1_shot22.jpg,1280,720
text box,87,466,504,62,video5_0_1_shot22.jpg,1280,720
text box,76,546,527,31,video5_0_1_shot22.jpg,1280,720
text box,81,584,416,28,video5_0_1_shot22.jpg,1280,720
text box,120,619,426,56,video5_0_1_shot22.jpg,1280,720
header,144,4,299,57,video5_0_1_shot23.jpg,1280,720
header,680,46,228,19,video5_0_1_shot23.jpg,1280,720
title,83,107,601,43,video5_0_1_shot23.jpg,1280,720
footer,115,689,67,21,video5_0_1_shot23.jpg,1280,720
picture,676,195,306,436,video5_0_1_shot23.jpg,1280,720
instructor,985,390,295,335,video5_0_1_shot23.jpg,1280,720
text box,75,170,371,26,video5_0_1_shot23.jpg,1280,720
text box,111,214,304,26,video5_0_1_shot23.jpg,1280,720
text box,100,253,176,26,video5_0_1_shot23.jpg,1280,720
text box,68,387,493,33,video5_0_1_shot23.jpg,1280,720
text box,61,427,504,26,video5_0_1_shot23.jpg,1280,720
text box,71,548,531,29,video5_0_1_shot23.jpg,1280,720
text box,80,584,418,26,video5_0_1_shot23.jpg,1280,720
text box,122,619,424,55,video5_0_1_shot23.jpg,1280,720
text box,67,285,534,88,video5_0_1_shot23.jpg,1280,720
text box,86,467,506,61,video5_0_1_shot23.jpg,1280,720
header,147,9,295,54,video5_0_1_shot24.jpg,1280,720
header,681,46,225,17,video5_0_1_shot24.jpg,1280,720
title,111,121,808,45,video5_0_1_shot24.jpg,1280,720
footer,116,691,66,19,video5_0_1_shot24.jpg,1280,720
instructor,1016,393,264,325,video5_0_1_shot24.jpg,1280,720
diagram,100,186,900,533,video5_0_1_shot24.jpg,1280,720
header,147,9,294,54,video5_0_1_shot25.jpg,1280,720
header,682,47,224,18,video5_0_1_shot25.jpg,1280,720
title,115,88,792,88,video5_0_1_shot25.jpg,1280,720
instructor,1012,391,266,328,video5_0_1_shot25.jpg,1280,720
footer,115,692,67,18,video5_0_1_shot25.jpg,1280,720
picture,124,194,196,161,video5_0_1_shot25.jpg,1280,720
picture,346,194,182,161,video5_0_1_shot25.jpg,1280,720
picture,565,194,187,160,video5_0_1_shot25.jpg,1280,720
picture,123,435,186,190,video5_0_1_shot25.jpg,1280,720
picture,785,198,167,158,video5_0_1_shot25.jpg,1280,720
text box,554,429,411,204,video5_0_1_shot25.jpg,1280,720
header,146,6,297,59,video5_0_1_shot26.jpg,1280,720
header,680,47,228,18,video5_0_1_shot26.jpg,1280,720
title,112,88,798,87,video5_0_1_shot26.jpg,1280,720
picture,125,198,196,159,video5_0_1_shot26.jpg,1280,720
picture,346,193,182,161,video5_0_1_shot26.jpg,1280,720
picture,566,193,184,160,video5_0_1_shot26.jpg,1280,720
picture,786,196,168,158,video5_0_1_shot26.jpg,1280,720
picture,125,435,184,190,video5_0_1_shot26.jpg,1280,720
footer,116,691,66,18,video5_0_1_shot26.jpg,1280,720
text box,554,428,410,208,video5_0_1_shot26.jpg,1280,720
instructor,993,391,286,328,video5_0_1_shot26.jpg,1280,720
header,143,9,298,54,video5_0_1_shot27.jpg,1280,720
header,681,47,227,18,video5_0_1_shot27.jpg,1280,720
footer,116,693,66,17,video5_0_1_shot27.jpg,1280,720
instructor,995,387,283,333,video5_0_1_shot27.jpg,1280,720
picture,86,254,109,164,video5_0_1_shot27.jpg,1280,720
picture,85,444,117,178,video5_0_1_shot27.jpg,1280,720
text box,218,278,242,141,video5_0_1_shot27.jpg,1280,720
text box,215,467,192,23,video5_0_1_shot27.jpg,1280,720
title,119,103,331,25,video5_0_1_shot27.jpg,1280,720
title,119,133,785,88,video5_0_1_shot27.jpg,1280,720
picture,223,513,288,64,video5_0_1_shot27.jpg,1280,720
header,145,7,297,58,video5_0_1_shot28.jpg,1280,720
header,681,46,226,20,video5_0_1_shot28.jpg,1280,720
title,117,102,334,26,video5_0_1_shot28.jpg,1280,720
title,118,133,786,90,video5_0_1_shot28.jpg,1280,720
picture,86,255,110,164,video5_0_1_shot28.jpg,1280,720
picture,86,443,116,177,video5_0_1_shot28.jpg,1280,720
text box,218,279,242,139,video5_0_1_shot28.jpg,1280,720
text box,217,467,188,24,video5_0_1_shot28.jpg,1280,720
footer,112,692,73,17,video5_0_1_shot28.jpg,1280,720
text box,528,263,489,362,video5_0_1_shot28.jpg,1280,720
instructor,987,395,292,324,video5_0_1_shot28.jpg,1280,720
picture,223,513,288,64,video5_0_1_shot28.jpg,1280,720
header,178,13,290,53,video5_0_2_shot1.jpg,1280,720
header,701,51,216,15,video5_0_2_shot1.jpg,1280,720
footer,147,676,76,19,video5_0_2_shot1.jpg,1280,720
instructor,970,401,300,318,video5_0_2_shot1.jpg,1280,720
text box,159,115,303,29,video5_0_2_shot1.jpg,1280,720
text box,159,149,770,74,video5_0_2_shot1.jpg,1280,720
text box,147,236,261,82,video5_0_2_shot1.jpg,1280,720
text box,423,240,226,80,video5_0_2_shot1.jpg,1280,720
text box,700,244,198,51,video5_0_2_shot1.jpg,1280,720
picture,152,324,261,300,video5_0_2_shot1.jpg,1280,720
picture,428,324,256,300,video5_0_2_shot1.jpg,1280,720
picture,704,324,253,297,video5_0_2_shot1.jpg,1280,720
header,178,11,290,55,video5_0_2_shot2.jpg,1280,720
header,697,48,223,18,video5_0_2_shot2.jpg,1280,720
footer,147,676,76,19,video5_0_2_shot2.jpg,1280,720
instructor,970,405,308,314,video5_0_2_shot2.jpg,1280,720
text box,159,115,303,29,video5_0_2_shot2.jpg,1280,720
text box,159,149,770,74,video5_0_2_shot2.jpg,1280,720
text box,150,236,258,82,video5_0_2_shot2.jpg,1280,720
text box,419,240,230,80,video5_0_2_shot2.jpg,1280,720
text box,700,244,198,51,video5_0_2_shot2.jpg,1280,720
picture,152,324,261,300,video5_0_2_shot2.jpg,1280,720
picture,428,324,256,300,video5_0_2_shot2.jpg,1280,720
picture,704,324,253,291,video5_0_2_shot2.jpg,1280,720
text box,715,616,288,75,video5_0_2_shot2.jpg,1280,720
header,178,13,290,53,video5_0_2_shot3.jpg,1280,720
header,701,51,216,15,video5_0_2_shot3.jpg,1280,720
footer,147,676,76,19,video5_0_2_shot3.jpg,1280,720
instructor,970,403,308,316,video5_0_2_shot3.jpg,1280,720
text box,159,115,303,29,video5_0_2_shot3.jpg,1280,720
text box,159,149,770,74,video5_0_2_shot3.jpg,1280,720
text box,150,236,258,82,video5_0_2_shot3.jpg,1280,720
text box,419,240,230,80,video5_0_2_shot3.jpg,1280,720
text box,700,241,198,54,video5_0_2_shot3.jpg,1280,720
picture,152,324,261,300,video5_0_2_shot3.jpg,1280,720
picture,428,324,256,300,video5_0_2_shot3.jpg,1280,720
picture,704,324,253,291,video5_0_2_shot3.jpg,1280,720
text box,715,616,288,75,video5_0_2_shot3.jpg,1280,720
header,174,12,294,56,video5_0_2_shot4.jpg,1280,720
header,699,48,222,18,video5_0_2_shot4.jpg,1280,720
footer,151,676,65,16,video5_0_2_shot4.jpg,1280,720
instructor,973,403,305,316,video5_0_2_shot4.jpg,1280,720
text box,717,619,288,68,video5_0_2_shot4.jpg,1280,720
text box,158,113,305,30,video5_0_2_shot4.jpg,1280,720
text box,160,147,767,74,video5_0_2_shot4.jpg,1280,720
text box,150,236,255,83,video5_0_2_shot4.jpg,1280,720
text box,421,237,228,83,video5_0_2_shot4.jpg,1280,720
text box,703,240,197,55,video5_0_2_shot4.jpg,1280,720
picture,153,324,259,299,video5_0_2_shot4.jpg,1280,720
picture,430,325,254,295,video5_0_2_shot4.jpg,1280,720
picture,705,325,256,292,video5_0_2_shot4.jpg,1280,720
header,180,10,288,54,video5_0_2_shot5.jpg,1280,720
title,146,100,297,79,video5_0_2_shot5.jpg,1280,720
picture,140,219,257,153,video5_0_2_shot5.jpg,1280,720
footer,147,677,71,15,video5_0_2_shot5.jpg,1280,720
text box,462,111,215,29,video5_0_2_shot5.jpg,1280,720
text box,463,149,536,89,video5_0_2_shot5.jpg,1280,720
text box,464,249,564,59,video5_0_2_shot5.jpg,1280,720
text box,462,318,566,90,video5_0_2_shot5.jpg,1280,720
text box,464,417,560,128,video5_0_2_shot5.jpg,1280,720
text box,464,554,545,94,video5_0_2_shot5.jpg,1280,720
header,698,50,221,17,video5_0_2_shot5.jpg,1280,720
instructor,970,408,307,311,video5_0_2_shot5.jpg,1280,720
header,182,13,286,51,video5_0_2_shot6.jpg,1280,720
title,149,99,231,83,video5_0_2_shot6.jpg,1280,720
picture,141,220,257,152,video5_0_2_shot6.jpg,1280,720
footer,146,677,69,18,video5_0_2_shot6.jpg,1280,720
instructor,966,409,312,309,video5_0_2_shot6.jpg,1280,720
header,698,46,223,20,video5_0_2_shot6.jpg,1280,720
text box,463,204,510,81,video5_0_2_shot6.jpg,1280,720
text box,466,308,500,77,video5_0_2_shot6.jpg,1280,720
text box,466,407,391,26,video5_0_2_shot6.jpg,1280,720
header,179,11,289,53,video5_0_2_shot7.jpg,1280,720
title,147,101,353,35,video5_0_2_shot7.jpg,1280,720
picture,141,219,257,151,video5_0_2_shot7.jpg,1280,720
footer,150,677,67,15,video5_0_2_shot7.jpg,1280,720
header,700,51,218,15,video5_0_2_shot7.jpg,1280,720
text box,465,208,491,214,video5_0_2_shot7.jpg,1280,720
instructor,966,409,312,309,video5_0_2_shot7.jpg,1280,720
header,180,9,287,58,video5_0_2_shot8.jpg,1280,720
header,695,51,225,17,video5_0_2_shot8.jpg,1280,720
footer,152,674,62,19,video5_0_2_shot8.jpg,1280,720
instructor,1016,414,262,305,video5_0_2_shot8.jpg,1280,720
title,147,111,631,44,video5_0_2_shot8.jpg,1280,720
picture,176,181,416,122,video5_0_2_shot8.jpg,1280,720
table,191,324,401,179,video5_0_2_shot8.jpg,1280,720
picture,500,395,372,63,video5_0_2_shot8.jpg,1280,720
figure,115,574,659,53,video5_0_2_shot8.jpg,1280,720
diagram,511,463,340,39,video5_0_2_shot8.jpg,1280,720
handwriting,491,500,497,133,video5_0_2_shot8.jpg,1280,720
handwriting,890,381,114,87,video5_0_2_shot8.jpg,1280,720
handwriting,681,279,234,68,video5_0_2_shot8.jpg,1280,720
figure,688,236,235,46,video5_0_2_shot8.jpg,1280,720
instructor,996,411,282,307,video5_0_2_shot9.jpg,1280,720
header,177,11,290,55,video5_0_2_shot9.jpg,1280,720
header,698,46,220,20,video5_0_2_shot9.jpg,1280,720
footer,152,677,62,15,video5_0_2_shot9.jpg,1280,720
title,148,113,631,43,video5_0_2_shot9.jpg,1280,720
picture,176,175,416,129,video5_0_2_shot9.jpg,1280,720
figure,695,236,223,46,video5_0_2_shot9.jpg,1280,720
handwriting,681,279,234,68,video5_0_2_shot9.jpg,1280,720
handwriting,890,381,114,87,video5_0_2_shot9.jpg,1280,720
table,188,319,408,185,video5_0_2_shot9.jpg,1280,720
figure,115,574,659,53,video5_0_2_shot9.jpg,1280,720
picture,500,395,372,63,video5_0_2_shot9.jpg,1280,720
diagram,511,463,340,39,video5_0_2_shot9.jpg,1280,720
handwriting,491,500,497,133,video5_0_2_shot9.jpg,1280,720
header,177,11,292,56,video5_0_2_shot10.jpg,1280,720
header,698,50,221,17,video5_0_2_shot10.jpg,1280,720
footer,150,677,69,15,video5_0_2_shot10.jpg,1280,720
instructor,996,411,282,307,video5_0_2_shot10.jpg,1280,720
title,148,113,631,43,video5_0_2_shot10.jpg,1280,720
picture,176,175,416,129,video5_0_2_shot10.jpg,1280,720
figure,695,236,223,46,video5_0_2_shot10.jpg,1280,720
handwriting,681,279,234,68,video5_0_2_shot10.jpg,1280,720
handwriting,890,381,114,87,video5_0_2_shot10.jpg,1280,720
table,191,323,402,180,video5_0_2_shot10.jpg,1280,720
figure,115,574,659,53,video5_0_2_shot10.jpg,1280,720
picture,500,395,372,63,video5_0_2_shot10.jpg,1280,720
diagram,511,463,340,39,video5_0_2_shot10.jpg,1280,720
handwriting,491,500,497,133,video5_0_2_shot10.jpg,1280,720
header,182,13,284,51,video5_0_2_shot11.jpg,1280,720
header,700,50,219,16,video5_0_2_shot11.jpg,1280,720
footer,149,677,71,15,video5_0_2_shot11.jpg,1280,720
instructor,985,409,293,310,video5_0_2_shot11.jpg,1280,720
title,148,113,631,43,video5_0_2_shot11.jpg,1280,720
picture,176,175,416,129,video5_0_2_shot11.jpg,1280,720
figure,695,236,223,46,video5_0_2_shot11.jpg,1280,720
handwriting,681,279,234,68,video5_0_2_shot11.jpg,1280,720
handwriting,890,381,114,87,video5_0_2_shot11.jpg,1280,720
table,191,324,401,179,video5_0_2_shot11.jpg,1280,720
figure,115,574,659,53,video5_0_2_shot11.jpg,1280,720
picture,500,395,372,63,video5_0_2_shot11.jpg,1280,720
diagram,511,463,340,42,video5_0_2_shot11.jpg,1280,720
handwriting,491,500,497,133,video5_0_2_shot11.jpg,1280,720
header,174,13,294,54,video5_0_2_shot12.jpg,1280,720
header,700,50,219,16,video5_0_2_shot12.jpg,1280,720
footer,146,677,68,15,video5_0_2_shot12.jpg,1280,720
instructor,988,409,291,311,video5_0_2_shot12.jpg,1280,720
title,119,85,667,87,video5_0_2_shot12.jpg,1280,720
picture,113,357,304,244,video5_0_2_shot12.jpg,1280,720
chart,416,362,605,251,video5_0_2_shot12.jpg,1280,720
picture,921,97,99,294,video5_0_2_shot12.jpg,1280,720
picture,164,199,441,143,video5_0_2_shot12.jpg,1280,720
header,179,11,289,56,video5_0_2_shot13.jpg,1280,720
header,700,50,219,16,video5_0_2_shot13.jpg,1280,720
footer,150,677,69,15,video5_0_2_shot13.jpg,1280,720
instructor,995,403,284,316,video5_0_2_shot13.jpg,1280,720
picture,164,199,441,143,video5_0_2_shot13.jpg,1280,720
picture,921,97,99,295,video5_0_2_shot13.jpg,1280,720
picture,113,357,304,244,video5_0_2_shot13.jpg,1280,720
chart,416,362,605,251,video5_0_2_shot13.jpg,1280,720
title,119,85,667,87,video5_0_2_shot13.jpg,1280,720
header,179,8,288,59,video5_0_2_shot14.jpg,1280,720
header,697,48,222,19,video5_0_2_shot14.jpg,1280,720
title,147,111,372,40,video5_0_2_shot14.jpg,1280,720
text box,132,195,407,155,video5_0_2_shot14.jpg,1280,720
picture,626,213,328,335,video5_0_2_shot14.jpg,1280,720
instructor,981,412,294,308,video5_0_2_shot14.jpg,1280,720
footer,149,670,70,25,video5_0_2_shot14.jpg,1280,720
header,179,10,290,57,video5_0_2_shot15.jpg,1280,720
header,698,46,221,22,video5_0_2_shot15.jpg,1280,720
title,147,109,447,42,video5_0_2_shot15.jpg,1280,720
picture,159,189,183,284,video5_0_2_shot15.jpg,1280,720
text box,165,500,212,132,video5_0_2_shot15.jpg,1280,720
footer,149,672,68,23,video5_0_2_shot15.jpg,1280,720
instructor,986,406,288,311,video5_0_2_shot15.jpg,1280,720
picture,436,189,182,281,video5_0_2_shot15.jpg,1280,720
picture,715,191,226,282,video5_0_2_shot15.jpg,1280,720
text box,443,500,231,117,video5_0_2_shot15.jpg,1280,720
text box,721,499,215,96,video5_0_2_shot15.jpg,1280,720
header,180,9,289,59,video5_0_2_shot16.jpg,1280,720
header,699,47,219,21,video5_0_2_shot16.jpg,1280,720
title,149,110,442,43,video5_0_2_shot16.jpg,1280,720
picture,161,191,180,287,video5_0_2_shot16.jpg,1280,720
text box,165,502,210,132,video5_0_2_shot16.jpg,1280,720
instructor,989,404,285,315,video5_0_2_shot16.jpg,1280,720
footer,147,673,71,21,video5_0_2_shot16.jpg,1280,720
picture,437,189,183,281,video5_0_2_shot16.jpg,1280,720
picture,717,192,225,279,video5_0_2_shot16.jpg,1280,720
text box,723,499,215,98,video5_0_2_shot16.jpg,1280,720
text box,443,503,230,110,video5_0_2_shot16.jpg,1280,720
header,181,10,289,57,video5_0_2_shot17.jpg,1280,720
header,700,48,218,20,video5_0_2_shot17.jpg,1280,720
title,152,113,436,37,video5_0_2_shot17.jpg,1280,720
picture,161,190,183,282,video5_0_2_shot17.jpg,1280,720
picture,437,190,183,280,video5_0_2_shot17.jpg,1280,720
picture,717,190,223,282,video5_0_2_shot17.jpg,1280,720
text box,166,503,209,129,video5_0_2_shot17.jpg,1280,720
text box,443,503,230,110,video5_0_2_shot17.jpg,1280,720
text box,723,500,213,93,video5_0_2_shot17.jpg,1280,720
footer,150,674,66,20,video5_0_2_shot17.jpg,1280,720
instructor,984,406,293,314,video5_0_2_shot17.jpg,1280,720
instructor,984,406,291,312,video5_0_2_shot18.jpg,1280,720
header,181,10,289,57,video5_0_2_shot18.jpg,1280,720
header,697,48,222,19,video5_0_2_shot18.jpg,1280,720
title,152,113,436,37,video5_0_2_shot18.jpg,1280,720
picture,161,190,183,282,video5_0_2_shot18.jpg,1280,720
picture,437,190,183,280,video5_0_2_shot18.jpg,1280,720
picture,717,190,223,282,video5_0_2_shot18.jpg,1280,720
text box,166,503,209,129,video5_0_2_shot18.jpg,1280,720
text box,443,503,230,110,video5_0_2_shot18.jpg,1280,720
text box,723,499,215,98,video5_0_2_shot18.jpg,1280,720
footer,149,676,68,17,video5_0_2_shot18.jpg,1280,720
instructor,980,406,298,313,video5_0_2_shot19.jpg,1280,720
header,181,10,289,57,video5_0_2_shot19.jpg,1280,720
header,697,48,222,19,video5_0_2_shot19.jpg,1280,720
title,152,113,436,37,video5_0_2_shot19.jpg,1280,720
picture,161,190,183,282,video5_0_2_shot19.jpg,1280,720
picture,437,190,183,280,video5_0_2_shot19.jpg,1280,720
picture,717,190,223,282,video5_0_2_shot19.jpg,1280,720
text box,166,503,209,129,video5_0_2_shot19.jpg,1280,720
text box,443,503,230,110,video5_0_2_shot19.jpg,1280,720
text box,723,499,215,98,video5_0_2_shot19.jpg,1280,720
footer,149,676,68,17,video5_0_2_shot19.jpg,1280,720
instructor,980,412,297,306,video5_0_2_shot20.jpg,1280,720
header,181,10,289,57,video5_0_2_shot20.jpg,1280,720
header,697,48,222,19,video5_0_2_shot20.jpg,1280,720
title,152,113,436,37,video5_0_2_shot20.jpg,1280,720
picture,173,194,177,281,video5_0_2_shot20.jpg,1280,720
picture,444,195,239,281,video5_0_2_shot20.jpg,1280,720
picture,765,194,222,281,video5_0_2_shot20.jpg,1280,720
text box,166,503,209,129,video5_0_2_shot20.jpg,1280,720
text box,439,500,227,132,video5_0_2_shot20.jpg,1280,720
text box,751,500,213,93,video5_0_2_shot20.jpg,1280,720
footer,149,676,68,17,video5_0_2_shot20.jpg,1280,720
instructor,980,406,298,313,video5_0_2_shot21.jpg,1280,720
header,181,10,289,57,video5_0_2_shot21.jpg,1280,720
header,697,48,222,19,video5_0_2_shot21.jpg,1280,720
title,152,113,436,37,video5_0_2_shot21.jpg,1280,720
picture,176,194,176,279,video5_0_2_shot21.jpg,1280,720
picture,443,192,239,284,video5_0_2_shot21.jpg,1280,720
picture,766,195,222,278,video5_0_2_shot21.jpg,1280,720
text box,166,503,209,129,video5_0_2_shot21.jpg,1280,720
text box,439,500,228,132,video5_0_2_shot21.jpg,1280,720
text box,750,502,215,92,video5_0_2_shot21.jpg,1280,720
footer,149,676,68,17,video5_0_2_shot21.jpg,1280,720
